ORDER_ID,CUSTOMER_ID,BOOKING_DATE,TRAVEL_FROM,BASE_LOCATION,TRAVEL_TO,TRAVEL_BASE_LOCATION,CUSTOMER_BASE_LOCATION,NO_OF_TRAVELLERS,FLIGHT_NAME,FLIGHT_FARE,DISCOUNT_RATE,TOTAL_FARE_AFTER_DISCOUNT,TOTAL_FARE_PAID,PAYMENT_MODE
1368,MO-17500 ,05-03-2019,Sri Guru Ram Dass Jee International Airport – ATQ ,Amritsar ,Sardar Vallabhbhai Patel International Airport – AMD ,Ahmedabad ,Siliguri ,2,Air India ,3224,0.1,2902,5803,HDFC CC
1382,MZ-17335 ,05-03-2019,Pune Airport – PNQ ,Pune ,Kannur International Airport – CNN ,Kannur ,Delhi ,1,Air India ,2574,0.02,2523,2523,AXIS CC
1392,BO-11425 ,12-02-2019,Visakhapatnam International Airport – VTZ ,Visakhapatnam ,Devi Ahilya Bai Holkar Airport – IDR ,Indore ,Lucknow ,1,Air India ,4258,0.1,3832,3832,SBI NET BANKING
1414,CC-2370 ,04-03-2019,Bagdogra International Airport – IXB ,Siliguri ,Surat International Airport – STV ,Surat ,Indore ,1,Air India ,5209,0.08,4792,4792,CITI CC
1426,MS-7710 ,19-01-2019,Kannur International Airport – CNN ,Kannur ,Kempegowda International Airport – BLR ,Bangalore ,Guwahati ,1,Air India ,3258,0.01,3225,3225,ICICI CC
1499,JB-6000 ,03-01-2019,Sheikhul Aalam International Airport – SXR ,Srinagar ,Dr. Babasaheb Ambedkar International Airport – NAG ,Nagpur ,Amritsar ,3,Air India ,3262,0.05,3099,9297,AXIS CC
1543,RD-19480 ,21-02-2019,Chandigarh International Airport – IXC ,Chandigarh ,Thiruvananthapuram International Airport – TRV ,Thiruvananthapuram ,Delhi ,1,Air India ,3941,0,3941,3941,ICICI NET BANKING
1553,MP-8175 ,13-03-2019,Jay Prakash Narayan International Airport – PAT ,Patna ,Devi Ahilya Bai Holkar Airport – IDR ,Indore ,Jaipur ,1,Air India ,3831,0.03,3716,3716,HDFC CC
1587,CK-12760 ,22-02-2019,Coimbatore International Airport – CJB ,Coimbatore ,Visakhapatnam International Airport – VTZ ,Visakhapatnam ,Guwahati ,5,Air India ,3753,0.07,3490,17451,HDFC CC
1603,JL-5835 ,24-02-2019,Rajiv Gandhi International Airport- HYD ,Hyderabad ,Visakhapatnam International Airport – VTZ ,Visakhapatnam ,Chennai ,1,Air India ,4004,0,4004,4004,SBI NET BANKING
1638,CC-2430 ,14-03-2019,Dr. Babasaheb Ambedkar International Airport – NAG ,Nagpur ,Dabolim Airport – GOI ,Goa ,Kannur ,1,Air India ,3417,0.1,3075,3075,HDFC CC
1705,VS-11820 ,08-01-2019,Visakhapatnam International Airport – VTZ ,Visakhapatnam ,Pune Airport – PNQ ,Pune ,Guwahati ,1,Air India ,4101,0.06,3855,3855,ICICI CC
1717,MP-7965 ,03-03-2019,Pune Airport – PNQ ,Pune ,Lal Bahadur Shastri International Airport – VNS ,Varanasi ,Goa ,1,Air India ,4277,0.09,3892,3892,ICICI CC
1738,JR-15700 ,24-02-2019,Pune Airport – PNQ ,Pune ,Madurai Airport – IXM ,Madurai ,Kolkata ,1,Air India ,5241,0.01,5189,5189,SBI NET BANKING
1767,SW-10245 ,09-03-2019,Bagdogra International Airport – IXB ,Siliguri ,Chaudhary Charan Singh International Airport – LKO  ,Lucknow ,Imphal ,3,Air India ,3443,0,3443,10329,SBI CC
1771,RD-19480 ,18-02-2019,Kempegowda International Airport – BLR ,Bangalore ,Imphal International Airport – IMF ,Imphal ,Delhi ,1,Air India ,3450,0.09,3140,3140,ICICI NET BANKING
1862,KL-6555 ,13-02-2019,Kannur International Airport – CNN ,Kannur ,Mangalore International Airport – IXE ,Mangalore ,Mumbai ,1,Air India ,3156,0.01,3124,3124,HSBC CC
1886,AB-255 ,09-01-2019,Coimbatore International Airport – CJB ,Coimbatore ,Cochin International Airport – COK  ,Kochi ,Coimbatore ,2,Air India ,3719,0,3719,7438,CITI CC
1895,GH-14665 ,24-03-2019,Indira Gandhi International Airport – DEL ,Delhi ,Dabolim Airport – GOI ,Goa ,Madurai ,1,Air India ,4666,0.04,4479,4479,ICICI CC
1927,TS-21610 ,28-01-2019,Coimbatore International Airport – CJB ,Coimbatore ,Lal Bahadur Shastri International Airport – VNS ,Varanasi ,Varanasi ,2,Air India ,2786,0.1,2507,5015,IDBI NET BANKING
1934,SW-20350 ,19-01-2019,Biju Patnaik International Airport – BBI ,Bhubaneswar ,Pune Airport – PNQ ,Pune ,Thiruvananthapuram ,1,Air India ,3299,0.07,3068,3068,HDFC CC
1935,RA-9885 ,24-03-2019,Thiruvananthapuram International Airport – TRV ,Thiruvananthapuram ,Sri Guru Ram Dass Jee International Airport – ATQ ,Amritsar ,Thiruvananthapuram ,1,Air India ,2645,0.06,2486,2486,HDFC CC
1955,BS-1755 ,19-01-2019,Calicut International Airport – CCJ ,Calicut ,Kempegowda International Airport – BLR ,Bangalore ,Delhi ,1,Air India ,4108,0.05,3903,3903,IDBI NET BANKING
1973,ML-17410 ,02-01-2019,Calicut International Airport – CCJ ,Calicut ,Kempegowda International Airport – BLR ,Bangalore ,Surat ,1,Air India ,7784,0.03,7550,7550,AXIS NET BANKING
1988,HK-14890 ,02-02-2019,Kempegowda International Airport – BLR ,Bangalore ,Sardar Vallabhbhai Patel International Airport – AMD ,Ahmedabad ,Calicut ,6,Air India ,3963,0,3963,23778,HDFC CC
2036,OT-8730 ,19-03-2019,Bagdogra International Airport – IXB ,Siliguri ,Chandigarh International Airport – IXC ,Chandigarh ,Thiruvananthapuram ,1,Air India ,3249,0.01,3217,3217,ICICI NET BANKING
2069,BN-1515 ,25-02-2019,Coimbatore International Airport – CJB ,Coimbatore ,Lal Bahadur Shastri International Airport – VNS ,Varanasi ,Lucknow ,2,Air India ,2672,0.05,2538,5077,SBI NET BANKING
2087,GT-4755 ,26-03-2019,Rajiv Gandhi International Airport- HYD ,Hyderabad ,Bagdogra International Airport – IXB ,Siliguri ,Madurai ,1,Air India ,2656,0.1,2390,2390,SBI CC
2092,JF-5565 ,07-02-2019,Netaji Subhas Chandra Bose International Airport – CCU ,Kolkata ,Sardar Vallabhbhai Patel International Airport – AMD ,Ahmedabad ,Chandigarh ,1,Air India ,2644,0.03,2565,2565,SBI CC
2167,ZC-21910 ,16-03-2019,Jay Prakash Narayan International Airport – PAT ,Patna ,Cochin International Airport – COK  ,Kochi ,Imphal ,1,Air India ,4324,0.07,4021,4021,AXIS NET BANKING
2270,DB-3615 ,19-03-2019,Lokpriya Gopinath Bordoloi International Airport – GAU ,Guwahati ,Imphal International Airport – IMF ,Imphal ,Lucknow ,3,Air India ,2682,0,2682,8046,HDFC NET BANKING
2348,BT-1440 ,08-02-2019,Pune Airport – PNQ ,Pune ,Chennai International Airport – MAA ,Chennai ,Chandigarh ,1,Air India ,3633,0.07,3379,3379,HDFC CC
2394,DN-13690 ,27-03-2019,Surat International Airport – STV ,Surat ,Coimbatore International Airport – CJB ,Coimbatore ,Guwahati ,2,Air India ,2526,0,2526,5052,AXIS CC
2415,DJ-13630 ,27-03-2019,Imphal International Airport – IMF ,Imphal ,Jay Prakash Narayan International Airport – PAT ,Patna ,Indore ,1,Air India ,7542,0,7542,7542,HDFC CC
2486,AZ-10750 ,03-01-2019,Imphal International Airport – IMF ,Imphal ,Bagdogra International Airport – IXB ,Siliguri ,Amritsar ,1,Air India ,7226,0.07,6720,6720,HDFC CC
2487,EH-4005 ,14-02-2019,Sheikhul Aalam International Airport – SXR ,Srinagar ,Thiruvananthapuram International Airport – TRV ,Thiruvananthapuram ,Imphal ,1,Air India ,3245,0.06,3050,3050,HDFC CC
2530,MG-17695 ,12-01-2019,Indira Gandhi International Airport – DEL ,Delhi ,Chaudhary Charan Singh International Airport – LKO  ,Lucknow ,Chennai ,1,Air India ,2766,0,2766,2766,ICICI CC
2539,JS-5880 ,18-01-2019,Coimbatore International Airport – CJB ,Coimbatore ,Cochin International Airport – COK  ,Kochi ,Calicut ,1,Air India ,4475,0.07,4162,4162,IDBI NET BANKING
2560,IM-15055 ,13-02-2019,Kannur International Airport – CNN ,Kannur ,Chandigarh International Airport – IXC ,Chandigarh ,Thiruvananthapuram ,1,Air India ,2982,0,2982,2982,ICICI CC
2562,DO-13645 ,02-01-2019,Jaipur International Airport – JAI ,Jaipur ,Cochin International Airport – COK  ,Kochi ,Madurai ,1,Air India ,4490,0.09,4086,4086,HDFC NET BANKING
2629,EC-4050 ,27-01-2019,Imphal International Airport – IMF ,Imphal ,Devi Ahilya Bai Holkar Airport – IDR ,Indore ,Jaipur ,3,Air India ,2834,0.05,2692,8077,AXIS CC
2677,DM-12955 ,26-01-2019,Kannur International Airport – CNN ,Kannur ,Rajiv Gandhi International Airport- HYD ,Hyderabad ,Siliguri ,1,Air India ,8714,0.03,8453,8453,HDFC NET BANKING
2680,TT-11460 ,15-02-2019,Mangalore International Airport – IXE ,Mangalore ,Thiruvananthapuram International Airport – TRV ,Thiruvananthapuram ,Imphal ,1,Air India ,3603,0.09,3279,3279,SBI NET BANKING
2693,PV-8985 ,18-02-2019,Madurai Airport – IXM ,Madurai ,Pune Airport – PNQ ,Pune ,Delhi ,1,Air India ,3737,0.03,3625,3625,CITI CC
2704,KL-6645 ,25-02-2019,Coimbatore International Airport – CJB ,Coimbatore ,Dr. Babasaheb Ambedkar International Airport – NAG ,Nagpur ,Lucknow ,1,Air India ,3266,0.08,3005,3005,ICICI NET BANKING
2707,HJ-14875 ,07-01-2019,Indira Gandhi International Airport – DEL ,Delhi ,Devi Ahilya Bai Holkar Airport – IDR ,Indore ,Jaipur ,1,Air India ,8362,0.01,8278,8278,HDFC CC
2805,MM-17920 ,09-02-2019,Netaji Subhas Chandra Bose International Airport – CCU ,Kolkata ,Bagdogra International Airport – IXB ,Siliguri ,Siliguri ,3,Air India ,3990,0.03,3870,11611,SBI CC
2822,KD-16615 ,15-02-2019,Pune Airport – PNQ ,Pune ,Lokpriya Gopinath Bordoloi International Airport – GAU ,Guwahati ,Mangalore ,1,Air India ,8755,0,8755,8755,HSBC CC
2862,JS-6030 ,02-01-2019,Sri Guru Ram Dass Jee International Airport – ATQ ,Amritsar ,Chennai International Airport – MAA ,Chennai ,Ahmedabad ,1,Air India ,4360,0.06,4098,4098,CITI CC
2870,EB-13705 ,19-02-2019,Sheikhul Aalam International Airport – SXR ,Srinagar ,Tiruchirappalli International Airport – TRZ ,Tiruchirappalli ,Chandigarh ,1,Air India ,4416,0.1,3974,3974,HDFC CC
2887,CK-2325 ,28-03-2019,Mangalore International Airport – IXE ,Mangalore ,Sardar Vallabhbhai Patel International Airport – AMD ,Ahmedabad ,Ahmedabad ,3,Air India ,3615,0.01,3579,10737,IDBI NET BANKING
2893,TH-11235 ,23-01-2019,Kannur International Airport – CNN ,Kannur ,Jay Prakash Narayan International Airport – PAT ,Patna ,Kochi ,1,Air India ,4447,0,4447,4447,KOTAK NET BANKING
2899,AW-10840 ,28-01-2019,Chennai International Airport – MAA ,Chennai ,Kannur International Airport – CNN ,Kannur ,Bhubaneswar ,1,Air India ,3554,0.1,3199,3199,CITI CC
2909,JM-5655 ,24-03-2019,Mangalore International Airport – IXE ,Mangalore ,Surat International Airport – STV ,Surat ,Pune ,1,Air India ,2992,0.08,2753,2753,HSBC CC
2918,AZ-750 ,11-03-2019,Jaipur International Airport – JAI ,Jaipur ,Biju Patnaik International Airport – BBI ,Bhubaneswar ,Mumbai ,1,Air India ,4099,0.05,3894,3894,HDFC CC
2965,AA-480 ,01-02-2019,Biju Patnaik International Airport – BBI ,Bhubaneswar ,Sri Guru Ram Dass Jee International Airport – ATQ ,Amritsar ,Delhi ,1,Air India ,4104,0,4104,4104,HDFC CC
2985,PH-8790 ,22-01-2019,Chhatrapati Shivaji International Airport – BOM ,Mumbai ,Chaudhary Charan Singh International Airport – LKO  ,Lucknow ,Delhi ,2,Air India ,5527,0.07,5140,10280,ICICI CC
3009,CS-12400 ,09-03-2019,Tiruchirappalli International Airport – TRZ ,Tiruchirappalli ,Rajiv Gandhi International Airport- HYD ,Hyderabad ,Bhubaneswar ,1,Air India ,4465,0.08,4108,4108,ICICI NET BANKING
3014,DB-13120 ,08-03-2019,Coimbatore International Airport – CJB ,Coimbatore ,Pune Airport – PNQ ,Pune ,Bangalore ,1,Air India ,9231,0.04,8862,8862,ICICI CC
3066,KW-16435 ,25-01-2019,Sardar Vallabhbhai Patel International Airport – AMD ,Ahmedabad ,Lal Bahadur Shastri International Airport – VNS ,Varanasi ,Visakhapatnam ,1,Air India ,5790,0.05,5501,5501,CITI CC
3083,RB-9435 ,25-02-2019,Biju Patnaik International Airport – BBI ,Bhubaneswar ,Jay Prakash Narayan International Airport – PAT ,Patna ,Imphal ,5,Air India ,2921,0.07,2717,13583,ICICI CC
3106,TG-21640 ,28-03-2019,Jaipur International Airport – JAI ,Jaipur ,Chhatrapati Shivaji International Airport – BOM ,Mumbai ,Lucknow ,2,Air India ,3718,0.07,3458,6915,KOTAK NET BANKING
3202,CS-12505 ,26-01-2019,Cochin International Airport – COK  ,Kochi ,Jay Prakash Narayan International Airport – PAT ,Patna ,Tiruchirappalli ,6,Air India ,7076,0.08,6510,39060,AXIS NET BANKING
3249,AT-10435 ,03-02-2019,Dabolim Airport – GOI ,Goa ,Chennai International Airport – MAA ,Chennai ,Mangalore ,4,Air India ,3536,0.04,3395,13578,ICICI CC
3271,NM-8445 ,09-02-2019,Netaji Subhas Chandra Bose International Airport – CCU ,Kolkata ,Chhatrapati Shivaji International Airport – BOM ,Mumbai ,Goa ,3,Air India ,4011,0.05,3810,11431,IDBI NET BANKING
3273,ES-4080 ,17-03-2019,Tiruchirappalli International Airport – TRZ ,Tiruchirappalli ,Netaji Subhas Chandra Bose International Airport – CCU ,Kolkata ,Srinagar ,1,Air India ,2617,0,2617,2617,ICICI NET BANKING
3277,JM-15580 ,20-02-2019,Dr. Babasaheb Ambedkar International Airport – NAG ,Nagpur ,Chandigarh International Airport – IXC ,Chandigarh ,Bangalore ,1,Air India ,8488,0.04,8148,8148,HDFC NET BANKING
3303,JF-15415 ,18-01-2019,Cochin International Airport – COK  ,Kochi ,Indira Gandhi International Airport – DEL ,Delhi ,Calicut ,1,Air India ,3861,0.02,3784,3784,HDFC NET BANKING
3315,LH-17155 ,13-03-2019,Netaji Subhas Chandra Bose International Airport – CCU ,Kolkata ,Thiruvananthapuram International Airport – TRV ,Thiruvananthapuram ,Indore ,1,Air India ,3138,0.01,3107,3107,SBI NET BANKING
3335,NF-8385 ,25-01-2019,Calicut International Airport – CCJ ,Calicut ,Lokpriya Gopinath Bordoloi International Airport – GAU ,Guwahati ,Delhi ,1,Air India ,3156,0.05,2998,2998,ICICI CC
3348,JS-15685 ,21-02-2019,Jay Prakash Narayan International Airport – PAT ,Patna ,Sardar Vallabhbhai Patel International Airport – AMD ,Ahmedabad ,Madurai ,1,Air India ,4502,0,4502,4502,CITI CC
3361,BF-1020 ,03-03-2019,Coimbatore International Airport – CJB ,Coimbatore ,Jaipur International Airport – JAI ,Jaipur ,Delhi ,1,Air India ,2795,0.02,2739,2739,AXIS CC
3379,TC-11475 ,02-01-2019,Jay Prakash Narayan International Airport – PAT ,Patna ,Jaipur International Airport – JAI ,Jaipur ,Mangalore ,4,Air India ,9728,0.08,8950,35799,CITI CC
3389,GR-14560 ,10-01-2019,Chennai International Airport – MAA ,Chennai ,Indira Gandhi International Airport – DEL ,Delhi ,Goa ,1,Air India ,4272,0,4272,4272,IDBI NET BANKING
3400,SW-10455 ,20-01-2019,Mangalore International Airport – IXE ,Mangalore ,Imphal International Airport – IMF ,Imphal ,Pune ,1,Air India ,8443,0.05,8021,8021,SBI CC
3412,DA-3450 ,11-02-2019,Surat International Airport – STV ,Surat ,Visakhapatnam International Airport – VTZ ,Visakhapatnam ,Delhi ,1,Air India ,3735,0.02,3660,3660,HDFC CC
3506,CJ-2010 ,02-02-2019,Lal Bahadur Shastri International Airport – VNS ,Varanasi ,Kannur International Airport – CNN ,Kannur ,Srinagar ,1,Air India ,2827,0.03,2742,2742,CITI CC
3592,BT-1395 ,25-01-2019,Lal Bahadur Shastri International Airport – VNS ,Varanasi ,Rajiv Gandhi International Airport- HYD ,Hyderabad ,Mumbai ,2,Air India ,4420,0.03,4287,8575,ICICI CC
3641,DM-2955 ,25-01-2019,Biju Patnaik International Airport – BBI ,Bhubaneswar ,Visakhapatnam International Airport – VTZ ,Visakhapatnam ,Tiruchirappalli ,1,Air India ,2887,0.04,2772,2772,SBI NET BANKING
3686,VF-11715 ,11-01-2019,Surat International Airport – STV ,Surat ,Jay Prakash Narayan International Airport – PAT ,Patna ,Calicut ,1,Air India ,4127,0.09,3756,3756,SBI CC
3742,BF-11275 ,24-01-2019,Kempegowda International Airport – BLR ,Bangalore ,Tiruchirappalli International Airport – TRZ ,Tiruchirappalli ,Tiruchirappalli ,1,Air India ,8010,0.05,7610,7610,ICICI CC
3817,BP-11050 ,24-02-2019,Lokpriya Gopinath Bordoloi International Airport – GAU ,Guwahati ,Coimbatore International Airport – CJB ,Coimbatore ,Chennai ,1,Air India ,2538,0.06,2386,2386,CITI CC
3825,DF-13135 ,19-01-2019,Chandigarh International Airport – IXC ,Chandigarh ,Madurai Airport – IXM ,Madurai ,Guwahati ,1,Air India ,2741,0.04,2631,2631,HSBC CC
3859,RK-19300 ,18-01-2019,Sri Guru Ram Dass Jee International Airport – ATQ ,Amritsar ,Chandigarh International Airport – IXC ,Chandigarh ,Patna ,1,Air India ,9123,0.1,8211,8211,ICICI CC
3901,HW-4935 ,02-03-2019,Devi Ahilya Bai Holkar Airport – IDR ,Indore ,Thiruvananthapuram International Airport – TRV ,Thiruvananthapuram ,Pune ,3,Air India ,3846,0.07,3577,10730,CITI CC
3916,BG-11035 ,28-03-2019,Biju Patnaik International Airport – BBI ,Bhubaneswar ,Lal Bahadur Shastri International Airport – VNS ,Varanasi ,Indore ,1,Air India ,4321,0,4321,4321,ICICI CC
3917,GM-4695 ,06-03-2019,Chhatrapati Shivaji International Airport – BOM ,Mumbai ,Devi Ahilya Bai Holkar Airport – IDR ,Indore ,Varanasi ,1,Air India ,3605,0.08,3317,3317,HDFC CC
3923,AH-120 ,03-02-2019,Chaudhary Charan Singh International Airport – LKO  ,Lucknow ,Dabolim Airport – GOI ,Goa ,Kolkata ,1,Air India ,4133,0,4133,4133,ICICI CC
